"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","External Voltage","Rear Roll","Rear Heave","Front Heave","Front Roll","InlineAcc","VerticalAcc","RollRate","PitchRate","YawRate","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","D4 Gate Driver B","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D3 Relay 3 Statu","D3 Relay 4 Statu","D5 Inverter Comm","D3 Relay 2 Statu","D4 Inverter Run","D2 Inverter Stat","D1 VSM State","D6 Inverter E 01","D4 Inverter Disc","D3 Relay 5 Statu","D6 Start Mode Ac","D3 Relay 6 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D5 Rolling Count","D1 PWM Frequency","D4 Run Fault Hi","D2 Post Fault Hi","D3 Run Fault Lo","D1 Post Fault Lo","D3 Power On Time","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Speed Mode Enabl","Speed Command","Torque Command","Torque Limit Com","D3 Data Command","D1 Parameter  01","SEG1OV","SEG1UV","PEC ERROR","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2OT","SEG2UV","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","PACKOC","IMD Fault","D1 HV Input Curr","D2 14V Master Fa","D3 HV Input Curr","D4 DTC Status","D6 14V Monitor","D8 14V Current M","BrakeSensor1","BrakeSensor2","Temperature","APPS1","APPS2","Max Voltage","Min Voltage","Max Voltage Location","Avg Voltage","Min Voltage Location","Max Temperature","Min Temperature Location","Min Temperature","Avg Temperature","Max Temperature Location","Pack Voltage","Pack Current"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","V","mm","mm","mm","mm","g","g","deg/s","deg/s","deg/s","g","g","deg/s","#","#","#","#","°C","#","°C","#","#","#","#","rpm","mm","#","#","#","#","#","#","mV","mV","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","Nm","Nm","#","Nm","#","rpm","#","#","km/h","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","bar","bar","°C","%","%","mV","mV","#","mV","#","°C","#","°C","°C","#","mV","A"

"17.600","0.1952","16","0.0000","0.0000","43.3165","6.2272","0.0000","330.3398","22.9000","0.1690","10000.0000","40.86297119","-77.83394298","10.4960","12.9141","32.9375","34.9375","0.0434","0.1052","-1.0049","-0.1079","-0.2627","-0.6525","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.5000","0.0000","38.4903","-1000.0000","-1000.0000","129.1698","0.0000","0.0000","17.9438","0.0000","0.1323","-3.5375","-0.0677","0.7396","-0.6396","1.0094","392.9302","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.0810","0.0000","0.9833","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8265","0.3491","40.1119","-2.1788","-3.2344","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4384","16.6300","26.0000","70.6212","0.3000"
"17.650","0.1369","16","0.0000","0.0000","60.8184","128.4584","0.0000","330.3332","22.9000","0.1390","10000.0000","40.86297112","-77.83394298","10.4960","12.9297","32.9375","34.9625","0.0559","0.1114","-1.0044","-0.0912","-0.2199","-0.6229","0.0000","0.0000","0.0000","34.7564","-1000.0000","206.3000","204.9000","33.5440","0.0000","38.4109","-1000.0000","-1000.0000","129.3094","-0.0219","0.0000","17.2031","0.0000","-0.0250","-3.6375","-0.2250","0.7563","-0.6781","1.0562","392.9656","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.1308","0.0000","0.9412","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9446","0.4206","38.0140","-2.0367","-2.4134","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4389","16.6300","26.0000","70.6177","0.3000"
"17.700","0.1419","16","0.0000","0.0000","58.1683","148.4943","0.0000","330.3290","22.9000","0.1370","10000.0000","40.86297108","-77.83394298","10.4960","12.9250","32.9313","34.9188","0.0640","0.1141","-1.0039","-0.1080","-0.1816","-0.6215","0.0000","0.0000","0.0000","34.7069","-1000.0000","206.3000","204.9000","33.5940","0.0000","38.3119","-1000.0000","-1000.0000","129.5698","-0.0740","0.0000","16.7344","0.0000","0.3917","-3.0125","0.1917","0.6521","-0.6260","0.9521","393.1219","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.1803","0.0000","0.5804","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9446","0.4206","35.9161","-1.7634","-1.8965","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4394","16.6300","26.0000","70.6143","0.3000"
"17.750","0.1739","16","0.0000","0.0000","46.8817","124.7322","0.0000","330.3257","22.9000","0.1470","10000.0000","40.86297105","-77.83394298","10.4960","12.9141","32.9125","34.9437","0.0519","0.1093","-1.0054","-0.1291","-0.1786","-0.6401","0.0000","0.0000","0.0000","34.7417","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.3854","-1000.0000","-1000.0000","129.5698","-0.0740","0.0000","17.1250","0.0000","0.6000","-2.7781","0.3219","0.6260","-0.6000","0.9260","393.1479","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.2303","0.0000","0.4000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9377","0.4137","33.8182","-1.3360","-1.7368","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4399","16.6300","26.0000","70.6108","0.3000"
"17.800","0.1728","16","0.0000","0.0000","38.3155","82.9594","0.0000","330.3204","22.9000","0.1605","10000.0000","40.86297103","-77.83394293","10.4960","12.9141","32.9437","34.9625","0.0441","0.1033","-1.0049","-0.1216","-0.1936","-0.6518","0.0000","0.0000","0.0000","34.7903","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.4825","-1000.0000","-1000.0000","129.3094","-0.0219","0.0000","18.3750","0.0000","0.6000","-2.9344","0.1656","0.6781","-0.6000","0.9781","393.0438","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.2808","0.0000","0.4000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9090","0.3850","31.7203","-0.9086","-1.5770","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"17.850","0.1574","16","0.0000","0.0000","30.9152","33.4678","0.0000","330.3142","22.9000","0.1755","10000.0000","40.86297102","-77.83394286","10.4960","12.9172","32.9375","34.9875","0.0566","0.1015","-1.0059","-0.0826","-0.2125","-0.6212","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.5406","-1000.0000","-1000.0000","129.1396","0.0000","0.0000","18.5375","0.0000","0.6906","-2.7281","0.3719","0.6396","-0.5698","0.9396","393.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.3310","0.0000","0.4938","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8986","0.3827","29.6224","-0.4812","-1.4173","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"17.900","0.1717","16","0.0000","0.0000","28.5384","-6.9794","0.0000","330.3064","22.8650","0.1835","10000.0000","40.86297102","-77.83394292","10.4960","12.9187","32.9625","34.9875","0.0640","0.1011","-1.0049","-0.0017","-0.2588","-0.5555","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.5901","-1000.0000","-1000.0000","129.0354","0.0000","0.0000","17.9125","0.0000","0.8469","-2.2594","0.8406","0.5354","-0.5177","0.8354","393.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.3810","0.0000","0.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9273","0.4365","27.5245","-0.0539","-1.2575","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"17.950","0.1987","16","0.0000","0.0000","28.3144","-43.5503","0.0000","330.2978","22.8150","0.1885","10000.0000","40.86297102","-77.83394302","10.4960","12.9203","32.9437","34.9375","0.0482","0.1027","-1.0059","-0.0210","-0.2280","-0.5627","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.5615","0.0000","38.3282","-1000.0000","-1000.0000","129.5156","-0.0688","-0.3438","15.8094","0.0000","0.6938","-2.7188","0.6906","0.5688","-0.6031","0.9031","393.1719","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.4310","0.0000","0.5229","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9547","0.4805","25.4266","-0.7770","-1.4104","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"18.000","0.1987","16","0.0000","0.0000","29.9292","17.3162","0.0000","330.2961","22.8000","0.1830","10000.0000","40.86297098","-77.83394302","10.4960","12.9062","32.9375","34.9375","0.0406","0.1152","-1.0068","-0.1584","-0.1503","-0.5699","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.5135","0.0000","37.9883","-1000.0000","-1000.0000","130.2969","-0.1729","-0.8646","12.9448","0.0000","0.3813","-3.6562","0.2219","0.6729","-0.7594","1.0594","393.4323","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.4810","0.0000","0.2625","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9801","0.5095","23.3287","-2.1474","-1.7391","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"18.050","0.1871","16","0.0000","0.0000","32.3319","119.9416","0.0000","330.2973","22.8000","0.1730","10000.0000","40.86297091","-77.83394297","10.4960","12.9266","32.9875","34.9375","0.0511","0.1212","-1.0044","-0.1576","-0.1866","-0.5458","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.5360","0.0000","38.3030","-1000.0000","-1000.0000","131.3094","-0.0844","-0.2292","12.6625","0.0000","0.3000","-4.2469","0.1000","0.8156","-0.9156","1.2542","393.5385","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.5310","0.0000","0.2000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9395","0.4831","21.2308","-2.6250","-1.8868","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"18.100","0.1970","16","0.0000","0.0000","29.0497","110.5117","0.0000","330.2931","22.8000","0.1805","10000.0000","40.86297092","-77.83394290","10.4960","12.9234","32.9625","34.9188","0.0507","0.1067","-1.0049","-0.0199","-0.1851","-0.6079","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.5860","0.0000","38.8475","-1000.0000","-1000.0000","132.4031","0.0719","0.8125","13.2875","0.0000","0.3000","-4.7156","0.1000","0.9719","-1.0719","1.4625","393.5906","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.5810","0.0000","0.2000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8329","0.4014","19.1329","-2.1355","-1.8385","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"18.150","0.2162","16","0.0000","0.0000","23.3311","53.0580","0.0000","330.2865","22.8000","0.1955","10000.0000","40.86297098","-77.83394282","10.4960","12.9094","32.9625","34.9375","0.0616","0.1016","-1.0029","-0.0151","-0.2007","-0.6105","0.0000","0.0000","0.0000","34.8340","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.8602","-1000.0000","-1000.0000","132.2156","0.0573","0.5729","14.7240","0.0000","0.3000","-3.9031","0.3562","0.8719","-0.8865","1.2437","393.6427","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.6310","0.0000","0.2438","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8159","0.3654","17.0350","-1.6461","-1.7902","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"18.200","0.1841","16","0.0000","0.0000","26.2194","15.5472","0.0000","330.2891","22.8000","0.1930","10000.0000","40.86297096","-77.83394285","10.4960","12.9187","32.9562","34.9375","0.0480","0.1014","-1.0049","-0.0979","-0.1840","-0.5978","0.0000","0.0000","0.0000","34.8825","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.6660","-1000.0000","-1000.0000","131.7469","0.0052","0.0521","16.3385","0.0000","0.3000","-2.8094","0.6687","0.7156","-0.6260","0.9313","393.6948","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.6810","0.0000","0.2958","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8692","0.3654","14.9371","-1.1566","-1.7418","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"18.250","0.1301","16","0.0000","0.0000","32.7964","-13.4165","0.0000","330.2957","22.8000","0.1830","10000.0000","40.86297090","-77.83394293","10.4960","12.9094","32.9562","34.9125","0.0479","0.1030","-1.0068","-0.0532","-0.1788","-0.6514","0.0000","0.0000","0.0000","34.8683","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.4366","-1000.0000","-1000.0000","131.1844","0.0469","0.4688","17.1562","0.0000","0.5813","-3.5438","0.5594","0.8406","-0.7406","1.1344","393.6531","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.7310","0.0000","0.4438","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8557","0.3654","12.8392","-0.6671","-1.6935","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"18.300","0.0992","15","0.0000","0.0000","39.2851","-70.9854","0.0000","330.2934","22.8000","0.1730","10000.0000","40.86297088","-77.83394291","10.4960","12.8953","32.9813","34.9750","0.0443","0.1049","-1.0059","-0.0101","-0.1727","-0.6523","0.0000","0.0000","0.0000","34.8188","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.1891","-1000.0000","-1000.0000","130.6115","0.0990","0.9896","17.8854","0.0000","0.8938","-4.4812","0.4031","0.9969","-0.8969","1.3948","393.6010","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.7810","0.0000","0.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8012","0.3654","10.7413","-0.6162","-1.5750","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
"18.350","0.0783","15","0.0000","0.0000","45.7359","-140.8136","0.0000","330.2872","22.8000","0.1630","10000.0000","40.86297087","-77.83394284","10.4960","12.9141","32.9562","34.9625","0.0312","0.1057","-1.0039","-0.0741","-0.1863","-0.6205","0.0000","0.0000","0.0000","34.8000","-1000.0000","206.3000","204.9000","33.6000","0.0000","38.1311","-1000.0000","-1000.0000","130.3448","-0.0021","-0.0208","17.2365","0.0000","0.1854","-4.1937","-0.1615","0.8979","-0.7979","1.2469","393.1406","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","122.8310","0.0000","0.1313","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8455","0.3654","8.6434","-0.7360","-1.4292","4.0712","4.0638","65.0000","4.0666","37.0000","29.8300","56.0000","25.4400","16.6300","26.0000","70.6100","0.3000"
